filename,file_mb,sha256_16,stored_width,stored_height,exif_orientation,upright_width,upright_height,capture_time,camera,iso,exposure_s,brightness_mean,brightness_std,blur_laplacian_var
DSC09159.jpeg,13.44,3a39f6aea1cf420a,8448,6336,8,6336,8448,2026:03:09 12:30:47,SONY ILCE-7RM5,200,0.005,129.9,82.9,136.0
DSC09163.jpeg,13.61,260a36ccad147275,8448,6336,8,6336,8448,2026:03:09 12:31:40,SONY ILCE-7RM5,125,0.005,131.8,70.5,117.6
DSC09167.jpeg,12.96,0a37fb5b2f5e978d,8448,6336,8,6336,8448,2026:03:09 12:33:07,SONY ILCE-7RM5,125,0.005,121.7,78.5,93.0
DSC09170.jpeg,13.83,a563b0698f109956,8448,6336,8,6336,8448,2026:03:09 12:33:52,SONY ILCE-7RM5,125,0.005,136.7,74.0,140.2
DSC09172.jpeg,13.81,d4c8818d38c3ee21,8448,6336,8,6336,8448,2026:03:09 12:34:12,SONY ILCE-7RM5,125,0.005,130.0,76.8,139.2
DSC09181.jpeg,12.78,a773726f1b97f928,8448,6336,8,6336,8448,2026:03:09 12:37:49,SONY ILCE-7RM5,125,0.005,128.0,73.2,147.4
DSC09182.jpeg,12.67,0cdd34942c679753,8448,6336,8,6336,8448,2026:03:09 12:37:53,SONY ILCE-7RM5,125,0.005,132.1,71.7,132.3
DSC09185.jpeg,13.23,5950c9a0a0212f81,8448,6336,8,6336,8448,2026:03:09 12:38:36,SONY ILCE-7RM5,125,0.005,117.3,76.4,112.1
DSC09188.jpeg,13.74,0d5ed2548c59a4b4,8448,6336,8,6336,8448,2026:03:09 12:39:23,SONY ILCE-7RM5,125,0.005,129.7,76.0,144.8
DSC09190.jpeg,14.37,02b542e77ba4220e,8448,6336,8,6336,8448,2026:03:09 12:40:56,SONY ILCE-7RM5,125,0.005,130.3,76.8,175.7
